Name,Nomination Year,President,Country,Confirmed,Doc No.,Total Personal Contributions by Nominee,Bundling Value,Career Background,Graduate Degree(s) & Area(s) of Study,Career FSO,Career Senior FS,State Dept. Experience,Military Experience,Other Foreign Policy Experience (U.S. Gov't),Experience in Organizational Leadership,Language,Knowledge of Principal Language,Knowledge of Other Relevant Languages,Country Experience,Experience in Host,Experience In or Involving Host,Regional Experience,Experience in Region,Experience in or Involving Region
Edwin G. Corr,1981,Reagan,Bolivia,Yes,C06549180,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,Yes
John Countryman,1981,Reagan,Oman,Yes,C06549185,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Arabic),Yes (English),,No,Yes,,Yes,Yes
Theodore E. Cummings,1981,Reagan,Austria,Yes,C06549193,Not Reported,,,No,No,No,No,No,No,Yes,,Yes (German),No,,Yes,No,,No,No
John Gunther Dean,1981,Reagan,Thailand,Yes,C06549201,0,,,Yes (Ph.D.),Yes,No,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Robert S. Dillon,1981,Reagan,Lebanon,Yes,C06549212,0,,,No,Yes,No,Yes,No,No,No,,No,Yes (French),,No,No,,Yes,No
John E. Dolibois,1981,Reagan,Luxembourg,Yes,C06549218,501,,,No,No,No,No,Yes,Yes,No,,Yes (Luxembourgish),Yes (French),,Yes,Yes,,No,No
David B. Funderburk,1981,Reagan,Romania,Yes,C06549257,932,,,Yes (Ph.D. in History),No,No,No,No,No,No,,Yes (Romanian),No,,Yes,Yes,,No,Yes
Evan G. Galbraith,1981,Reagan,France,Yes,C06549260,428,,,Yes (LLB),No,No,No,Yes,Yes (Navy Lieutenant),Yes,,Yes (French),No,,Yes,No,,Yes,No
Alan M. Hardy,1981,Reagan,Equatorial Guinea,Yes,C06549277,0,,,"Yes (""graduate degree"" in African Politics)",Yes,No,Yes,No,No,No,,Yes (Spanish),No,,No,No,,Yes,Yes
John L. Loeb Jr.,1981,Reagan,Denmark,Yes,C06549372,38448,,,Yes (M.B.A.),No,No,No,Yes,Yes (Air Force Lieutenant),Yes,,No,Yes (English),,No,No,,No,No
David C. Miller,1981,Reagan,Tanzania,Yes,C06549400,1298,,,Yes (JD),No,No,Yes,No,No,No,,Yes (English),No,,No,No,,Yes,Yes
Langhorne A. Motley,1981,Reagan,Brazil,Yes,C06549404,209,,,No,No,No,No,Yes,Yes (Air Force),Yes,,Yes (Portuguese),No,,Yes,No,,No,No
Richard W. Murphy,1981,Reagan,Saudi Arabia,Yes,C06549405,0,,,No,Yes,No,Yes,No,No,No,,Yes (Arabic),No,,No,No,,Yes,No
Keith F. Nyborg,1981,Reagan,Finland,Yes,C06549419,1435,,,No,No,No,No,No,No,No,,Yes (Finnish),No,,Yes,Yes,,No,No
Frank Ortiz,1981,Reagan,Peru,Yes,C06549427,0,,,No,Yes,No,Yes,No,No,No,,Yes (Spanish),No,,Yes,No,,Yes,No
Robert P. Paganelli,1981,Reagan,Syria,Yes,C06549428,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Arabic),No,,Yes,No,,Yes,No
Ernest H. Preeg,1981,Reagan,Haiti,Yes,C06549442,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Maxwell M. Rabb,1981,Reagan,Italy,Yes,C06549445,11118,,,Yes (JD),No,No,No,Yes,Yes (Navy Lieutenant),No,,No,No,,No,No,,No,No
John H. Reed,1981,Reagan,Maldives,Yes,C06549449,949,,,No,No,No,Yes,Yes,Yes (Navy),Yes,,No,Yes (English),,No,No,,Yes,No
John H. Reed,1981,Reagan,Sri Lanka,Yes,C06549449,949,,,No,No,No,Yes,Yes,Yes (Navy),Yes,,No,Yes (English),,Yes,No,,No,No
Paul Heron Robinson Jr.,1981,Reagan,Canada,Yes,C06549471,9175,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
M. Virginia Schafer,1981,Reagan,Papua New Guinea,Yes,C06549479,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Monteagle Stearns,1981,Reagan,Greece,Yes,C06549486,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Greek),No,,Yes,No,,Yes,No
Gerald Eustis Thomas,1981,Reagan,Guyana,Yes,C06549499,0,,,"Yes (M.S. in Int'l Affairs, Ph.D. in Diplomatic History)",No,No,No,Yes,"Yes (Rear Admiral, NSA, Office of Assistant Sec'y of Defense for Int'l Security Affairs)",Yes,,Yes (English),No,,No,No,,No,No
Julius W. Walker Jr.,1981,Reagan,Burkina Faso (Upper Volta),Yes,C06549502,0,,,No,Yes,No,Yes,No,No,Yes,,No,No,,No,No,,Yes,Yes
Richard L. Walker,1981,Reagan,South Korea,Yes,C06549504,1059,,,"Yes (Ph.D. in Int'l Rel., M.A. in Far Eastern and Russian Studies)",No,No,No,Yes,Yes (Military Intelligence Officer during WWII),No,,No,Yes (English),,No,Yes,,Yes,Yes
Everett Ellis Briggs,1982,Reagan,Panama,Yes,C06489245,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,No
Keith Lapham Brown,1982,Reagan,Lesotho,Yes,C06489255,13265,,,Yes (LLB),No,No,No,Yes,No,Yes,,Yes (English),No,,No,No,,No,No
Arthur H. Davis Jr.,1982,Reagan,Paraguay,Yes,C06489310,0,,,No,No,No,No,Yes,Yes (Army),Yes,,Yes (Spanish),No,,No,No,,Yes,No
Fred J. Eckert,1982,Reagan,Fiji,Yes,C06489323,787,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Fred J. Eckert,1982,Reagan,Kiribati,Yes,C06489323,787,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Fred J. Eckert,1982,Reagan,Tonga,Yes,C06489323,787,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Fred J. Eckert,1982,Reagan,Tuvalu,Yes,C06489323,787,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Nicholas Platt,1982,Reagan,Zambia,Yes,C06489345,Not Reported,,,No,Yes,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
Fernando E. Rondon,1982,Reagan,Comoros,Yes,C06489449,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Henry Allen Holmes,1982,Reagan,Portugal,Yes,C06490206,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,Yes
George W. Landau,1982,Reagan,Venezuela,Yes,C06490898,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,No
Michael H. Armacost,1982,Reagan,Philippines,Yes,C065455537,0,,,"Yes (Ph.D., M.A. in Int'l Rel.)",Yes,No,Yes (Senior Deputy Assistant Sec'y of State in East Asian Bureau),No,"Yes (NSC, DASD)",Yes (DASD for East Asian and Inter-American Affairs),,Yes (English),No,,No,No,,Yes,Yes
Francis T. McNamara,1982,Reagan,Gabon,Yes,C06545610,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Anthony C.E. Quainton,1982,Reagan,Nicaragua,Yes,C06545619,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,No
Howard K. Walker,1982,Reagan,Togo,Yes,C06545646,0,,,Yes (Ph.D. in Pol. Sci.),Yes,No,Yes,No,No,No,,Yes (French),No,,No,No,,Yes,Yes
Robert Anderson,1982,Reagan,Dominican Republic,Yes,C06549060,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,No
Mark Evans Austad,1982,Reagan,Norway,Yes,C06549070,0,,,No,No,No,Yes,No,Yes,Yes,,Yes (Norwegian),No,,Yes,No,,Yes,Yes
John P. Blane,1982,Reagan,Rwanda,Yes,C06549107,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),Yes (English),,No,No,,Yes,Yes
William R. Casey,1982,Reagan,Niger,Yes,C06549155,0,,,No,No,No,No,No,No,No,,Yes (French),No,,Yes,No,,No,No
Peter D. Constable,1982,Reagan,Democratic Republic of Congo (Zaire),Yes,C06549164,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,No,No
Peter H. Dailey,1982,Reagan,Ireland,Yes,C06549196,12585,,,No,No,No,No,Yes,Yes (Navy),Yes,,Yes (English),No,,No,No,,No,No
Robert W. Duemling,1982,Reagan,Suriname,Yes,C06549219,0,,,No,Yes,Yes ,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
William H. Dyess,1982,Reagan,Netherlands,Yes,C06549224,0,,,No,Yes,No,Yes,No,No,Yes,,No,No,,No,No,,Yes,Yes
David Fischer,1982,Reagan,Seychelles,Yes,C06549250,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Franklin S. Forsberg,1982,Reagan,Sweden,Yes,C06549251,3140,,,Yes (M.B.A.),No,No,No,Yes,Yes (Army Colonel),Yes,,Yes (Swedish),No,,Yes,Yes,,No,No
Samuel F. Hart,1982,Reagan,Ecuador,Yes,C06549279,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,Yes,,Yes,Yes
William Alexander Hewitt,1982,Reagan,Jamaica,Yes,C06549293,69899,,,No,No,No,No,Yes,Yes (Special Committee on Trade Relations with East European Countries and the Soviet Union),Yes,,Yes (English),No,,No,No,,No,No
George Q. Lumsden Jr.,1982,Reagan,UAE,Yes,C06549378,0,,,No,Yes,No,Yes,No,No,No,,Yes (Arabic),Yes (English),,No,No,,Yes,Yes
Theodore C. Maino,1982,Reagan,Botswana,Yes,C06549379,1306,,,No,No,No,No,Yes,Yes (Navy Officer),Yes,,Yes (English),No,,No,No,,No,No
Herman W. Nickel,1982,Reagan,South Africa,Yes,C06549411,0,,,Yes (LLB),No,No,No,No,No,No,,Yes (English),No,,Yes,No,,No,No
James Malone Rentschler,1982,Reagan,Malta,Yes,C06549453,0,,,No,Yes,Yes,Yes,No,Yes (NSC),Yes,,Yes (English),No,,No,No,,Yes,Yes
James D. Theberge,1982,Reagan,Chile,Yes,C06549496,0,,,"Yes (M.A., M.P.A.)",No,No,Yes,No,No,Yes,,Yes (Spanish),Yes (English),,No,No,,Yes,Yes
George Edward Moose,1983,Reagan,Benin,Yes,C06121822,0,,,No,Yes,No,Deputy Counselor for Political and Security Affairs at U.S. Mission to U.N.; Senior Refugee Advisor in Vietnam; Member of Danang Consulate General; Board of Examiners in Bureau of Personnel; Political Officer in Barbados,No,No,No,,Yes (French),No,,No,No,,Yes (Rhodesia),"Yes (Analyst for Central & Southern Africa in Bureau of Intelligence and Research; Country Officer for Rhodesia; Deputy Director of Office of Southern African Affairs; detailed to Under Secretary for Political Affairs, where he played a role in Rhodesian and Sahel issues)"
Thomas R. Pickering,1983,Reagan,El Salvador,Yes,C06121844,0,,,Not reported,Yes,Yes,Assistant Secretary for Oceans and Int'l Environmental and Scientific Affairs; Ambassador to Jordan; Ambassador to Nigeria,No,No,Yes,,Yes (Spanish),No,,No,No,,No,No
Terence A. Todman,1983,Reagan,Denmark,Yes,C06121875,0,,,Not reported,Yes,Yes,Bureau of Intelligence and Research; assignments in New Delhi and Tunis; DCM in Togo; Deputy Director of East African Affairs; Ambassador to Chad; Ambassador to Guinea; Chief of Mission in San Jose,No,No,Yes,,No,Yes (English),,No,No,,Yes (Spain),Yes (Ambassador to Spain)
Myles R.R. Frechette,1983,Reagan,Cameroon,Yes,C06121944,0,,,Yes (M.A. in Int'l Studies),Yes,Yes,"Assignments in San Pedro Sula, Rio de Janeiro, and Caracas; Desk Officer for Peru and Country Director for Cuba; Special Advisor to Assistant Secretary for Inter-American Affairs",No,No,Yes,,Yes (French),Yes (English),,No,No,,Yes (Chad),Yes (Political/ Economic Officer at N'Djamena)
Alvin P. Adams Jr.,1983,Reagan,Djibouti,Yes,C06489153,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,No,No
Reginald Bartholomew,1983,Reagan,Lebanon,Yes,C06489168,0,,,Yes (M.A. in Pol. Sci.),Yes,Yes,Yes,No,No,Yes,,No,Yes (French),,No,No,,No,No
L. Paul Bremer,1983,Reagan,Netherlands,Yes,C06489239,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Charles Franklin Dunbar,1983,Reagan,Qatar,Yes,C06489319,0,,,Yes (M.A. in Int'l Affairs),Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,Yes,No
Wesley W. Egan Jr.,1983,Reagan,Guinea-Bissau,Yes,C06489329,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Portuguese),No,,No,No,,Yes,No
Charles H. Price II,1983,Reagan,UK,Yes,C06489346,26225.68,,,No,No,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Nicolas M. Salgo,1983,Reagan,Hungary,Yes,C06489484,68422,,,Yes (LL.D. & Pol.Sc.D.),No,No,No,No,Yes (Member of Int'l Private Enterprise Task Force),Yes,,Yes (Hungarian),Yes (English),,Yes ,Yes,,Yes,No
Thomas P. Shoesmith,1983,Reagan,Malaysia,Yes,C06489521,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
Lewis Arthur Tambs,1983,Reagan,Colombia,Yes,C06489546,0,,,"Yes (M.A. in Latin American History, Ph.D. on Brazil)",No,No,No,Yes,Yes (11th Airborne Division in Japan),No,,Yes (Spanish),No,,No,No,,Yes,"Yes (M.A. in Latin American History, Ph.D. on Brazil)"
Deane Roesch Hinton,1983,Reagan,Pakistan,Yes,C06490204,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
Hume Alexander Horan,1983,Reagan,Sudan,Yes,C06490214,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,Yes,No
Daniel Anthony O'Donohue,1983,Reagan,Burma,Yes,C06490993,0,,,No,Yes,No,Yes,No,No,No,,No,No,,No,No,,Yes,Yes
John Melvin Yates,1983,Reagan,Cape Verde,Yes,C06491106,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Portuguese),No,,Yes,Yes,,Yes,No
Edmund T. Dejarnette,1983,Reagan,Central African Republic,Yes,C06497976,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Peter Jon de Vos,1983,Reagan,Mozambique,Yes,C06545566,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Portuguese),No,,No,No,,Yes,Yes
Robert B. Oakley,1983,Reagan,Somalia,Yes,C06545617,0,,,No,Yes,Yes,Yes,No,Yes (NSC),Yes,,No,No,,No,No,,Yes,No
George R. Andrews,1983,Reagan,Mauritius,Yes,C06549064,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),Yes (French),,No,No,,Yes,No
Diego C. Ascencio,1983,Reagan,Brazil,Yes,C06549068,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Portuguese),No,,No,No,,Yes,Yes
Malcolm R. Barnebey,1983,Reagan,Belize,Yes,C06549085,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,Yes,No,,Yes,Yes
James R. Bullington,1983,Reagan,Burundi,Yes,C06549145,315,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),Yes (English),,No,No,,Yes,No
Allen C. Davis,1983,Reagan,Uganda,Yes,C06549198,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Lev E. Dobriansky,1983,Reagan,Bahamas,Yes,C06549215,439,,,Yes (Ph.D. in Economics),No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Robert E. Fritts,1983,Reagan,Ghana,Yes,C06549256,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
John H. Holdridge,1983,Reagan,Indonesia,Yes,C06549297,0,,,No,Yes,Yes,Yes,Yes,Yes (detailed to CIA),Yes,,No,Yes (English),,No,No,,Yes,Yes
Robert B. Keating,1983,Reagan,Comoros,Yes,C06549346,3146,,,No,No,No,No,No,"Yes (Consultant to Office of General Counsel, Dept of Navy; Consultant, Int'l Security Affairs, Office of SecDef)",Yes,,Yes (French),No,,No,No,,Yes,No
Robert B. Keating,1983,Reagan,Madagascar,Yes,C06549346,3146,,,No,No,No,No,No,"Yes (Consultant to Office of General Counsel, Dept of Navy; Consultant, Int'l Security Affairs, Office of SecDef)",Yes,,Yes (French),Yes (English),,No,No,,Yes,No
Donald C. Leidel,1983,Reagan,Bahrain,Yes,C06549369,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
Arthur W. Lewis,1983,Reagan,Sierra Leone,Yes,C06549370,0,,,No,Yes,Yes,Yes,Yes,Yes (Navy),Yes,,Yes (English),No,,No,No,,Yes,Yes
William H. Luers,1983,Reagan,Czechoslovakia,Yes,C06549377,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,Yes
Robert H. Miller,1983,Reagan,Ivory Coast,Yes,C06549401,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,No,No
Frank V. Ortiz Jr.,1983,Reagan,Argentina,Yes,C06549425,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),Yes (English),,No,Yes,,Yes,Yes
Edward L. Peck,1983,Reagan,Mauritania,Yes,C06549431,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Arabic),No,,No,No,,No,No
Robert H. Phinny,1983,Reagan,Swaziland,Yes,C06549439,0,,,No,No,No,No,Yes,Yes (Navy),Yes,,Yes (English),No,,No,No,,No,No
Rozanne L. Ridgway,1983,Reagan,Germany (Democratic Republic),Yes,C06549454,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
James D. Rosenthal,1983,Reagan,Guinea,Yes,C06549472,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Geoffrey Swaebe,1983,Reagan,Belgium,Yes,C065494942,Not Reported,,,No,No,No,Yes,Yes,Yes (Army Captain),Yes,,No,No,,No,No,,Yes,No
Gerald Eustis Thomas,1983,Reagan,Kenya,Yes,C06549498,0,,,"Yes (Ph.D. in Diplomatic History, M.S. in Int'l Affairs)",No,No,Yes,Yes,"Yes (Navy, NSA)",Yes,,Yes (English),No,,No,No,,No,No
Nicholas A. Veliotes,1983,Reagan,Egypt,Yes,C06549500,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,Yes
Helene A. Von Damm,1983,Reagan,Austria,Yes,C06549501,3584,,,No,No,No,No,No,No,Yes,,Yes (German),No,,Yes,No,,No,No
J. Stapleton Roy,1984,Reagan,Singapore,Yes,C06121858,0,,,Yes (post-graduate studies),Yes,Not Reported,Soviet Desk Officer,No,No,No,,"Yes (English, ""Chinese"")",No,,No,No,,"Yes (Thailand, Hong Kong, Taiwan, China)","Yes (DCM in Bangkok; Political Officer in Bangkok; Consular Officer in Hong Kong; Political Officer in Taipei; Asia Specialist on Soviet Desk; Administrative Officer and Political Officer in Moscow, with responsibility for Soviet relations with Asian countries; Deputy Director of Office of PRC and Mongolian Affairs; DCM in Beijing)"
S.L. Abbott,1984,Reagan,Lesotho,Yes,C06489148,21071.79,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Robert E. Barbour,1984,Reagan,Suriname,Yes,C06489157,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
Harry E. Bergold Jr.,1984,Reagan,Nicaragua,Yes,C06489177,0,,,No,Yes,Yes,Yes,Yes,No,Yes,,No,No,,No,No,,Yes,No
Richard Wood Boehm,1984,Reagan,Cyprus,Yes,C06489223,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
Paul H. Boeker,1984,Reagan,Jordan,Yes,C06489224,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
Stephen Warren Bosworth,1984,Reagan,Philippines,Yes,C06489234,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
Walter Leon Cutler,1984,Reagan,Saudi Arabia,Yes,C06489300,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Carl Edward Dillery,1984,Reagan,Fiji,Yes,C06489315,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Carl Edward Dillery,1984,Reagan,Kiribati,Yes,C06489315,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Carl Edward Dillery,1984,Reagan,Tonga,Yes,C06489315,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Carl Edward Dillery,1984,Reagan,Tuvalu,Yes,C06489315,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Anthony Cecil Eden Quainton,1984,Reagan,Kuwait,Yes,C06489442,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,Yes
Peter Sebastian,1984,Reagan,Tunisia,Yes,C06489494,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
